classifier,In taxon,Group,ratio,dataset
std_1-step,624863,C,0.004440732993877978,marine
std_1-step,188638,D,0.0013405994441968144,marine
std_1-step,1147132,F,0.00815235807006213,marine
std_1-step,16532683,G,0.11749332393728794,marine
std_1-step,0,K,0.0,marine
std_1-step,202155,O,0.0014366611215216817,marine
std_1-step,119858,P,0.0008517985145227461,marine
std_1-step,21939,R,0.0001559145623163621,marine
std_1-step,111109648,S,0.7896263337911963,marine
std_1-step,10764764,U,0.07650227756501805,marine
kraken,625061,C,0.004442140094964824,marine
kraken,189425,D,0.0013461924316006146,marine
kraken,1146935,F,0.008150957986210114,marine
kraken,16530666,G,0.11747898882680535,marine
kraken,0,K,0.0,marine
kraken,202236,O,0.0014372367564850568,marine
kraken,120231,P,0.0008544493189588148,marine
kraken,22155,R,0.0001574496150038887,marine
kraken,111116088,S,0.7896720955241804,marine
kraken,10758884,U,0.07646048944579092,marine
rspc_gold,250372,C,0.0009829191050926144,plant_associated
rspc_gold,199176,D,0.0007819320677868394,plant_associated
rspc_gold,929599,F,0.0036494520839989667,plant_associated
rspc_gold,13643723,G,0.05356300225780647,plant_associated
rspc_gold,0,K,0.0,plant_associated
rspc_gold,817038,O,0.003207556195527693,plant_associated
rspc_gold,305086,P,0.001197717229148169,plant_associated
rspc_gold,15703,R,6.164738352239597e-05,plant_associated
rspc_gold,194268883,S,0.7626675372074426,plant_associated
rspc_gold,44293315,U,0.17388823646967425,plant_associated
rspc_R100,263731,C,0.0010353643318948616,plant_associated
rspc_R100,149077,D,0.0005852516712327723,plant_associated
rspc_R100,1548808,F,0.006080364311186083,plant_associated
rspc_R100,118484722,G,0.4651514423153835,plant_associated
rspc_R100,0,K,0.0,plant_associated
rspc_R100,655467,O,0.002573255144575834,plant_associated
rspc_R100,267349,P,0.0010495680021224633,plant_associated
rspc_R100,19006,R,7.461441579485817e-05,plant_associated
rspc_R100,104330725,S,0.4095851886419554,plant_associated
rspc_R100,29004010,U,0.11386495116585417,plant_associated
rspc_R10,308100,C,0.0012095496951697255,plant_associated
rspc_R10,180166,D,0.0007073019486528684,plant_associated
rspc_R10,2054049,F,0.00806385700036897,plant_associated
rspc_R10,130125290,G,0.5108503890080238,plant_associated
rspc_R10,0,K,0.0,plant_associated
rspc_R10,833429,O,0.003271904553377505,plant_associated
rspc_R10,348111,P,0.0013666262704811047,plant_associated
rspc_R10,35310,R,0.00013862122601896465,plant_associated
rspc_R10,92411745,S,0.36279324243704125,plant_associated
rspc_R10,28426695,U,0.11159850786086582,plant_associated
rspc_R1,415980,C,0.0016330687510441493,plant_associated
rspc_R1,294895,D,0.0011577090469233242,plant_associated
rspc_R1,2626948,F,0.010312963818976697,plant_associated
rspc_R1,139671836,G,0.5483285513067053,plant_associated
rspc_R1,2000,K,7.851669556440932e-06,plant_associated
rspc_R1,1087246,O,0.004268348159281088,plant_associated
rspc_R1,406176,P,0.001594579866878476,plant_associated
rspc_R1,78079,R,0.0003065252536486758,plant_associated
rspc_R1,82157796,S,0.32253793283874227,plant_associated
rspc_R1,27981939,U,0.1098524692882436,plant_associated
rspc_1-step,4916780,C,0.01930246592085882,plant_associated
rspc_1-step,1140426,D,0.004477124052786853,plant_associated
rspc_1-step,4680938,F,0.018376589195093752,plant_associated
rspc_1-step,143157157,G,0.5620113457017674,plant_associated
rspc_1-step,82981,K,0.0003257696957315125,plant_associated
rspc_1-step,2431076,O,0.009544002709297098,plant_associated
rspc_1-step,950033,P,0.003729672591857124,plant_associated
rspc_1-step,378282,R,0.0014850726315747942,plant_associated
rspc_1-step,70876924,S,0.2782510932124888,plant_associated
rspc_1-step,26108298,U,0.10249686428854383,plant_associated
std_gold,970525,C,0.0038101207981324175,plant_associated
std_gold,430433,D,0.0016898088410937698,plant_associated
std_gold,1705313,F,0.006694777083151477,plant_associated
std_gold,26191151,G,0.10282213147742374,plant_associated
std_gold,851748,O,0.0033438219206797255,plant_associated
std_gold,668369,P,0.0026239062648844343,plant_associated
std_gold,2730,R,1.0717528944541871e-05,plant_associated
std_gold,90689852,S,0.3560333750132669,plant_associated
std_gold,133212774,U,0.522971341072423,plant_associated
std_R100,705549,C,0.0027698688019386713,plant_associated
std_R100,408951,D,0.0016054740583880376,plant_associated
std_R100,2219518,F,0.008713460955286332,plant_associated
std_R100,110336777,G,0.433163956463356,plant_associated
std_R100,0,K,0.0,plant_associated
std_R100,964422,O,0.003786161428480938,plant_associated
std_R100,613689,P,0.0024092416192113397,plant_associated
std_R100,13645,R,5.3568015548818254e-05,plant_associated
std_R100,61539280,S,0.24159304565064715,plant_associated
std_R100,77921064,U,0.30590522300714273,plant_associated
std_R10,1033033,C,0.004055516878449422,plant_associated
std_R10,607612,D,0.002385384321264094,plant_associated
std_R10,2733360,F,0.010730719749396692,plant_associated
std_R10,112925381,G,0.4433263880735966,plant_associated
std_R10,0,K,0.0,plant_associated
std_R10,1340792,O,0.0052637278639597745,plant_associated
std_R10,758906,P,0.002979339568200181,plant_associated
std_R10,14098,R,5.534641870335213e-05,plant_associated
std_R10,58928810,S,0.23134477173714596,plant_associated
std_R10,76380903,U,0.2998588053892839,plant_associated
std_R1,1539567,C,0.0060440856720005475,plant_associated
std_R1,801446,D,0.0031463445796656793,plant_associated
std_R1,3093719,F,0.01214542964424144,plant_associated
std_R1,115948473,G,0.45519454778495666,plant_associated
